Rank   ,Player                      ,P    ,W    ,D    ,L    ,  %      ,Teams
6320.  ,Des Rowe                    ,175  ,77   ,1    ,97   ,44.29    ,RI
6321.  ,Barry Bourke                ,175  ,77   ,1    ,97   ,44.29    ,ME
6322.  ,Wayne Campbell              ,297  ,131  ,1    ,165  ,44.28    ,RI
6323.  ,Peter Johnston              ,122  ,54   ,0    ,68   ,44.26    ,ME/GE
6324.  ,Ian Salmon                  ,113  ,49   ,2    ,62   ,44.25    ,WB
6325.  ,Michael Young               ,52   ,23   ,0    ,29   ,44.23    ,CA/ME
6326.  ,Dave Moffatt                ,95   ,42   ,0    ,53   ,44.21    ,RI
6327.  ,Brian Molony                ,69   ,30   ,1    ,38   ,44.20    ,CA/SK
6328.  ,Tayte Pears                 ,69   ,30   ,1    ,38   ,44.20    ,ES
6329.  ,Ken Roberts                 ,112  ,49   ,1    ,62   ,44.20    ,ES/ME
6330.  ,Andrew Wilson               ,112  ,49   ,1    ,62   ,44.20    ,ES
6331.  ,Rob Sainsbury               ,43   ,19   ,0    ,24   ,44.19    ,WB
6332.  ,Wally Sykes                 ,43   ,19   ,0    ,24   ,44.19    ,CW/ME
6333.  ,Percy Jory                  ,60   ,26   ,1    ,33   ,44.17    ,SK
6334.  ,Darren Steele               ,137  ,60   ,1    ,76   ,44.16    ,NM/GE
6335.  ,Graham Polak                ,111  ,48   ,2    ,61   ,44.14    ,FR/RI
6336.  ,Ernie Collihole             ,17   ,7    ,1    ,9    ,44.12    ,SY
6337.  ,Basil Smith                 ,17   ,7    ,1    ,9    ,44.12    ,CW/SY/RI
6338.  ,Greg Booth                  ,17   ,7    ,1    ,9    ,44.12    ,FI
6339.  ,Ed Barlow                   ,34   ,14   ,2    ,18   ,44.12    ,SY/WB
6340.  ,Audley Gillespie-Jones      ,51   ,22   ,1    ,28   ,44.12    ,ME/FI
6341.  ,Sam Snell                   ,93   ,40   ,2    ,51   ,44.09    ,SK
6342.  ,Harry Toole                 ,59   ,25   ,2    ,32   ,44.07    ,CA
6343.  ,Rob Newton                  ,59   ,26   ,0    ,33   ,44.07    ,ES
6344.  ,Matthew Febey               ,143  ,63   ,0    ,80   ,44.06    ,ME
6345.  ,Frank Pomeroy               ,42   ,18   ,1    ,23   ,44.05    ,GE/NM
6346.  ,Andrew Phillips             ,42   ,18   ,1    ,23   ,44.05    ,CA
6347.  ,Bill Harwood                ,84   ,37   ,0    ,47   ,44.05    ,GE/SY
6348.  ,Josh Kennedy                ,159  ,69   ,2    ,88   ,44.03    ,CA/WC
6349.  ,Harry Long                  ,117  ,51   ,1    ,65   ,44.02    ,ME
6350.  ,Les Foote                   ,167  ,73   ,1    ,93   ,44.01    ,NM/SK
6351.  ,Ivan Porter                 ,25   ,11   ,0    ,14   ,44.00    ,ME
6352.  ,Davitt Coghlan              ,25   ,11   ,0    ,14   ,44.00    ,FI
6353.  ,Charlie Tough               ,25   ,11   ,0    ,14   ,44.00    ,CA
6354.  ,Jim Patterson               ,25   ,11   ,0    ,14   ,44.00    ,NM
6355.  ,Lawrence Bingham            ,25   ,11   ,0    ,14   ,44.00    ,HW/SK
6356.  ,Rod MacPherson              ,50   ,22   ,0    ,28   ,44.00    ,WB/BB
6357.  ,Troy Selwood                ,75   ,32   ,2    ,41   ,44.00    ,BL
